   10000      1    6.1390e+02     1
   3:   3.7000e-01   200070 1.4228e+07   B  N  N 
  100070   N 10    2.0000e-22     1
   1:   1.0000e+00    90060 2.6017e+06   P 
  110070   N 11    3.1274e-22     1
   1:   1.0000e+00   100060 1.6359e+06   P 
  120070   N 12    1.1000e-02     1
   1:   1.0000e+00   120060 1.7338e+07   EC
  130070   N 13    5.9790e+02     1
   1:   1.0000e+00   130060 2.2205e+06   EC
  140070   N 14      STABLE       0
  150070   N 15      STABLE       0
  160070   N 16    7.1300e+00     2
   1:   9.9999e-01   160080 1.0419e+07   B 
   2:   1.2000e-05   120060 3.2587e+06   B  A 
  170070   N 17    4.1710e+00     2
   1:   4.9000e-02   170080 8.6790e+06   B 
   2:   9.5100e-01   160080 4.5360e+06   B  N 
  180070   N 18    6.2400e-01     3
   1:   7.3500e-01   180080 1.3896e+07   B 
   2:   1.2200e-01   140060 7.6697e+06   B  A 
   3:   1.4300e-01   170080 5.8520e+06   B  N 
  190070   N 19    2.7100e-01     2
   1:   4.5400e-01   190080 1.2523e+07   B 
   2:   5.4600e-01   180080 8.5723e+06   B  N 
  200070   N 20    1.3000e-01     2
   1:   4.3000e-01   200080 1.7969e+07   B 
   2:   5.7000e-01   190080 1.0359e+07   B  N 
  210070   N 21    8.5000e-02     2
   1:   1.9000e-01   210080 1.7189e+07   B 
   2:   8.1000e-01   200080 1.3382e+07   B  N 
  220070   N 22    2.4000e-02     3
   1:   5.1000e-01   220080 2.2757e+07   B 
   2:   3.6000e-01   210080 1.5904e+07   B  N 
   3:   1.3000e-01   200080 1.2100e+07   B  N  N 
  230070   N 23    1.4500e-02     1
   1:   1.0000e+00   230080 2.3822e+07   B 
  240070   N 24    5.2000e-08     1
   1:   1.0000e+00   230070 1.0290e+06   N 
  250070   N 25    2.6000e-07     1
   1:   1.0000e+00   240070 8.9000e+05   N 
  120080   O 12    1.1393e-21     1
   1:   1.0000e+00   110070 4.5541e+05   P 
  130080   O 13    8.5800e-03     1
   1:   1.0000e+00   120060 1.5823e+07   EC P 
  140080   O 14    7.0606e+01     1
   1:   1.0000e+00   140070 5.1430e+06   EC
