# Fission Barrier Parameters in JENDL-4.0
# taken from Table 4 in Actinoid files, by O. Iwamoto
#
#     Z  At  Acn    V1      hw1     V2      hw2
#                  [MeV]   [MeV]   [MeV]   [MeV]
#
   U  92 235 235   5.700   0.400   5.600   0.300
   U  92 235 234   6.050   1.040   5.400   0.600
   U  92 235 233   5.970   0.800   5.450   0.520
   U  92 235 232   5.800   1.040   5.100   0.600
   U  92 236 237   6.100   0.600   5.900   0.600
   U  92 236 236   6.500   1.100   5.230   0.600
   U  92 236 235   5.790   0.400   5.470   0.300
   U  92 236 234   6.180   1.040   5.080   0.600
   U  92 236 233   5.970   0.800   5.450   0.520
   U  92 237 238   6.320   0.800   5.200   0.600
   U  92 237 237   6.150   0.650   5.750   0.500
   U  92 237 236   6.400   1.040   5.050   0.550
   U  92 237 235   5.790   0.400   5.470   0.300
   U  92 237 234   6.180   1.040   5.080   0.600
   U  92 238 239   6.452   0.702   5.574   0.474
   U  92 238 238   6.331   0.950   4.952   0.600
   U  92 238 237   6.036   0.650   5.641   0.500
   U  92 238 236   6.220   1.040   5.034   0.550
   U  92 238 235   5.790   0.400   5.470   0.300
  Np  93 234 235   6.250   0.950   5.630   0.600
  Np  93 234 234   6.200   0.460   5.850   0.370
  Np  93 234 233   4.300   0.800   3.300   0.520
  Np  93 234 232   4.400   0.650   3.300   0.450
  Np  93 234 231   4.000   0.800   3.100   0.520
  Np  93 235 236   6.100   0.600   6.080   0.600
  Np  93 235 235   6.250   0.950   5.630   0.600
  Np  93 235 234   6.200   0.460   5.850   0.370
  Np  93 235 233   4.300   0.800   3.300   0.520
  Np  93 236 237   6.000   0.950   5.570   0.600
  Np  93 236 236   6.100   0.600   6.080   0.600
  Np  93 236 235   6.250   0.950   5.630   0.600
  Np  93 236 234   6.200   0.460   5.850   0.370
  Np  93 236 233   4.300   0.800   3.300   0.520
  Np  93 237 238   6.199   0.460   5.848   0.370
  Np  93 237 237   6.250   0.950   5.200   0.600
  Np  93 237 236   5.500   0.600   5.200   0.400
  Np  93 237 235   6.250   0.950   5.200   0.600
  Np  93 237 234   6.200   0.460   5.850   0.370
  Np  93 238 239   6.250   0.800   5.250   0.600
  Np  93 238 238   6.200   0.460   5.850   0.370
  Np  93 238 237   6.000   0.950   5.570   0.600
