   1:   1.0000e+00   220100 1.0818e+07   B 
  230090   F 23    2.2300e+00     1
   1:   1.0000e+00   230100 8.4671e+06   B 
  240090   F 24    3.9000e-01     1
   1:   1.0000e+00   240100 1.3511e+07   B 
  250090   F 25    5.0000e-02     2
   1:   8.6000e-01   250100 1.3423e+07   B 
   2:   1.4000e-01   240100 9.2438e+06   B  N 
  260090   F 26    9.7000e-03     1
   1:   1.0000e+00   260100 1.8186e+07   B 
  170100  Ne 17    1.0920e-01     1
   1:   1.0000e+00   170090 1.4549e+07   EC
  180100  Ne 18    1.6720e+00     1
   1:   1.0000e+00   180090 4.4445e+06   EC
  190100  Ne 19    1.7220e+01     1
   1:   1.0000e+00   190090 3.2395e+06   EC
       0      0      STABLE       0
       0      0      STABLE       0
       0      0      STABLE       0
  230100  Ne 23    3.7240e+01     1
   1:   1.0000e+00   230110 4.3758e+06   B 
  240100  Ne 24    2.0280e+02     1
   1:   1.0000e+00   240111 1.9941e+06   B 
  250100  Ne 25    6.0200e-01     1
   1:   1.0000e+00   250110 7.2980e+06   B 
  260100  Ne 26    1.9700e-01     1
   1:   1.0000e+00   260110 7.3402e+06   B 
  270100  Ne 27    3.1500e-02     1
   1:   1.0000e+00   270110 1.2554e+07   B 
  280100  Ne 28    1.8900e-02     2
   1:   8.8000e-01   280110 1.2280e+07   B 
   2:   1.2000e-01   270110 8.7379e+06   B  N 
  290100  Ne 29    1.4800e-02     3
   1:   6.8000e-01   290110 1.5720e+07   B 
   2:   2.8000e-01   280110 1.1317e+07   B  N 
   3:   4.0000e-02   270110 7.7700e+06   B  N  N 
  300100  Ne 30    7.3000e-03     3
   1:   7.8100e-01   300110 1.4565e+07   B 
   2:   1.3000e-01   290110 1.2288e+07   B  N 
   3:   8.9000e-02   280110 7.9000e+06   B  N  N 
  200110  Na 20    4.4790e-01     1
   1:   1.0000e+00   200100 1.3892e+07   EC
  210110  Na 21    2.2490e+01     1
   1:   1.0000e+00   210100 3.5471e+06   EC
  220110  Na 22    8.2130e+07     1
   1:   1.0000e+00   220100 2.8432e+06   EC
       0      0      STABLE       0
  240110  Na 24    5.3990e+04     1
   1:   1.0000e+00   240120 5.5156e+06   B 
  240111  Na 24m1  2.0180e-02     2
   1:   5.0000e-04   240120 5.9878e+06   B 
   2:   9.9950e-01   240110 4.7221e+05   IT
  250110  Na 25    5.9100e+01     1
   1:   1.0000e+00   250120 3.8350e+06   B 
  260110  Na 26    1.0770e+00     1
   1:   1.0000e+00   260120 9.3538e+06   B 
  270110  Na 27    3.0100e-01     2
   1:   9.9870e-01   270120 9.0689e+06   B 
   2:   1.3000e-03   260120 2.6256e+06   B  N 
  280110  Na 28    3.0500e-02     1
   1:   1.0000e+00   280120 1.4030e+07   B 
  290110  Na 29    4.4100e-02     2
   1:   7.8000e-01   290120 1.3283e+07   B 
   2:   2.2000e-01   280120 9.6274e+06   B  N 
  300110  Na 30    4.8000e-02     3
   1:   6.8850e-01   300120 1.7358e+07   B 
   2:   3.0000e-01   290120 1.1006e+07   B  N 
   3:   1.1500e-02   280120 7.3490e+06   B  N  N 
  310110  Na 31    1.7000e-02     3
   1:   6.2130e-01   310120 1.5383e+07   B 
   2:   3.7000e-01   300120 1.3073e+07   B  N 
   3:   8.7000e-03   290120 6.7210e+06   B  N  N 
  320110  Na 32    1.3200e-02     3
   1:   6.8000e-01   320120 1.9638e+07   B 
   2:   2.4000e-01   310120 1.3861e+07   B  N 
   3:   8.0000e-02   310120 1.3861e+07   B  N 
  330110  Na 33    8.2000e-03     3
   1:   4.0000e-01   330120 1.9005e+07   B 
   2:   4.7000e-01   320120 1.6725e+07   B  N 
   3:   1.3000e-01   310120 1.0900e+07   B  N  N 
  200120  Mg 20    9.0800e-02     1
   1:   1.0000e+00   190100 8.5176e+06   EC P 
  210120  Mg 21    1.2200e-01     2
   1:   6.7400e-01   210110 1.3098e+07   EC
   2:   3.2600e-01   200100 1.0666e+07   EC P 
  220120  Mg 22    3.8750e+00     1
   1:   1.0000e+00   220110 4.7816e+06   EC
  230120  Mg 23    1.1317e+01     1
   1:   1.0000e+00   230110 4.0566e+06   EC
       0      0      STABLE       0
       0      0      STABLE       0
       0      0      STABLE       0
  270120  Mg 27    5.6750e+02     1
   1:   1.0000e+00   270130 2.6101e+06   B 
  280120  Mg 28    7.5290e+04     1
   1:   1.0000e+00   280130 1.8318e+06   B 
  290120  Mg 29    1.3000e+00     1
   1:   1.0000e+00   290130 7.6018e+06   B 
  300120  Mg 30    3.3500e-01     1
   1:   1.0000e+00   300130 6.9887e+06   B 
  310120  Mg 31    2.3000e-01     1
   1:   1.0000e+00   310130 1.1833e+07   B 
  320120  Mg 32    8.6000e-02     2
   1:   9.4500e-01   320130 1.0270e+07   B 
   2:   5.5000e-02   310130 6.0548e+06   B  N 
  330120  Mg 33    9.0500e-02     2
   1:   8.6000e-01   330130 1.3430e+07   B 
   2:   1.4000e-01   320130 7.9894e+06   B  N 
  220130  Al 22    5.9000e-02     2
   1:   5.6000e-01   220120 1.8601e+07   EC
   2:   4.4000e-01   210110 1.3097e+07   EC P 
  240130  Al 24    2.0530e+00     1
   1:   1.0000e+00   240120 1.3886e+07   EC
  240131  Al 24m1  1.3100e-01     2
   1:   1.7500e-01   240120 1.4312e+07   EC
   2:   8.2500e-01   240130 4.2580e+05   IT
  250130  Al 25    7.1830e+00     1
   1:   1.0000e+00   250120 4.2766e+06   EC
  260130  Al 26    2.2600e+13     1
   1:   1.0000e+00   260120 4.0044e+06   EC
  260131  Al 26m1  6.3450e+00     1
   1:   1.0000e+00   260120 4.2327e+06   EC
       0      0      STABLE       0
  280130  Al 28    1.3448e+02     1
   1:   1.0000e+00   280140 4.6423e+06   B 
  290130  Al 29    3.9400e+02     1
   1:   1.0000e+00   290140 3.6904e+06   B 
  300130  Al 30    3.6200e+00     1
   1:   1.0000e+00   300140 8.5605e+06   B 
  310130  Al 31    6.4000e-01     1
   1:   1.0000e+00   310140 7.9941e+06   B 
  320130  Al 32    3.3000e-02     1
   1:   1.0000e+00   320140 1.2979e+07   B 
  330130  Al 33    4.1700e-02     2
   1:   9.1500e-01   330140 1.2046e+07   B 
   2:   8.5000e-02   320140 7.5381e+06   B  N 
  340130  Al 34    5.6300e-02     2
   1:   7.4000e-01   340140 1.6888e+07   B 
   2:   2.6000e-01   330140 9.3741e+06   B  N 
  250140  Si 25    2.2000e-01     2
   1:   6.5000e-01   250130 1.2744e+07   EC
   2:   3.5000e-01   240120 1.0472e+07   EC P 
  260140  Si 26    2.2340e+00     2
   1:   8.0000e-04   260130 5.0691e+06   EC
   2:   9.9920e-01   260131 4.8408e+06   EC
  270140  Si 27    4.1600e+00     1
   1:   1.0000e+00   270130 4.8124e+06   EC
       0      0      STABLE       0
       0      0      STABLE       0
       0      0      STABLE       0
  310140  Si 31    9.4380e+03     1
   1:   1.0000e+00   310150 1.4915e+06   B 
  320140  Si 32    4.8000e+09     1
   1:   1.0000e+00   320150 2.2719e+05   B 
  330140  Si 33    6.1100e+00     1
   1:   1.0000e+00   330150 5.8230e+06   B 
  340140  Si 34    2.7700e+00     1
   1:   1.0000e+00   340150 4.5920e+06   B 
  350140  Si 35    7.8000e-01     1
   1:   1.0000e+00   350150 1.0497e+07   B 
  360140  Si 36    4.5000e-01     2
   1:   9.0000e-01   360150 7.8577e+06   B 
   2:   1.0000e-01   350150 4.3932e+06   B  N 
  270150   P 27    2.6000e-01     2
   1:   9.9950e-01   270140 1.1662e+07   EC
   2:   5.0000e-04   260130 4.1987e+06   EC P 
  280150   P 28    2.7030e-01     2
   1:   9.9999e-01   280140 1.4345e+07   EC
   2:   1.3000e-05   270130 2.7600e+06   EC P 
  290150   P 29    4.1420e+00     1
   1:   1.0000e+00   290140 4.9426e+06   EC
  300150   P 30    1.4988e+02     1
   1:   1.0000e+00   300140 4.2324e+06   EC
       0      0      STABLE       0
  320150   P 32    1.2323e+06     1
   1:   1.0000e+00   320160 1.7107e+06   B 
  330150   P 33    2.1890e+06     1
   1:   1.0000e+00   330160 2.4851e+05   B 
  340150   P 34    1.2430e+01     1
   1:   1.0000e+00   340160 5.3830e+06   B 
  350150   P 35    4.7300e+01     1
   1:   1.0000e+00   350160 3.9884e+06   B 
  360150   P 36    5.6000e+00     1
   1:   1.0000e+00   360160 1.0413e+07   B 
  380150   P 38    6.4000e-01     2
   1:   9.0000e-01   380160 1.2192e+07   B 
   2:   1.0000e-01   370160 4.1555e+06   B  N 
  400150   P 40    1.5300e-01     2
   1:   8.4200e-01   400160 1.4763e+07   B 
   2:   1.5800e-01   390160 7.0166e+06   B  N 
  280160   S 28    1.2500e-01     2
   1:   7.9000e-01   280150 1.1221e+07   EC
   2:   2.1000e-01   270140 9.1686e+06   EC P 
  290160   S 29    1.8700e-01     2
   1:   5.3000e-01   290150 1.3796e+07   EC
   2:   4.7000e-01   280140 1.1047e+07   EC P 
  300160   S 30    1.1780e+00     1
   1:   1.0000e+00   300150 6.1416e+06   EC
  310160   S 31    2.5720e+00     1
   1:   1.0000e+00   310150 5.3980e+06   EC
       0      0      STABLE       0
       0      0      STABLE       0
       0      0      STABLE       0
  350160   S 35    7.5610e+06     1
   1:   1.0000e+00   350170 1.6732e+05   B 
       0      0      STABLE       0
  370160   S 37    3.0300e+02     1
   1:   1.0000e+00   370170 4.8651e+06   B 
  380160   S 38    1.0220e+04     1
   1:   1.0000e+00   380170 2.9369e+06   B 
  390160   S 39    1.1500e+01     1
   1:   1.0000e+00   390170 6.6378e+06   B 
  400160   S 40    8.8000e+00     1
   1:   1.0000e+00   400170 4.7200e+06   B 
  420160   S 42    1.0130e+00     1
   1:   1.0000e+00   420170 7.2752e+06   B 
  310170  Cl 31    1.5000e-01     2
   1:   9.9300e-01   310160 1.1976e+07   EC
   2:   7.0000e-03   300150 5.8455e+06   EC P 
  320170  Cl 32    2.9800e-01     3
   1:   9.9920e-01   320160 1.2681e+07   EC
   2:   2.6000e-04   310150 3.8169e+06   EC P 
   3:   5.4000e-04   280140 5.7370e+06   EC A 
  330170  Cl 33    2.5110e+00     1
   1:   1.0000e+00   330160 5.5825e+06   EC
  340170  Cl 34    1.5266e+00     1
   1:   1.0000e+00   340160 5.4916e+06   EC
  340171  Cl 34m1  1.9200e+03     2
   1:   5.5400e-01   340160 5.6380e+06   EC
   2:   4.4600e-01   340170 1.4636e+05   IT
       0      0      STABLE       0
  360170  Cl 36    9.5000e+12     2
   1:   9.8100e-01   360180 7.0952e+05   B 
   2:   1.9000e-02   360160 1.1421e+06   EC
       0      0      STABLE       0
  380170  Cl 38    2.2338e+03     1
   1:   1.0000e+00   380180 4.9167e+06   B 
  380171  Cl 38m1  7.1500e-01     1
   1:   1.0000e+00   380170 6.7136e+05   IT
  390170  Cl 39    3.3360e+03     1
   1:   1.0000e+00   390180 3.4420e+06   B 
  400170  Cl 40    8.1000e+01     1
   1:   1.0000e+00   400180 7.4821e+06   B 
  420170  Cl 42    6.9000e+00     1
   1:   1.0000e+00   420180 9.5097e+06   B 
  430170  Cl 43    3.0700e+00     1
